epoch,ADM,DALLE2,Glide,Midjourney,VQDM,biggan,cyclegan,gaugan,progan,stable_diffusion_v_1_4,stable_diffusion_v_1_5,stargan,stylegan,stylegan2,whichfaceisreal,wukong,MEAN
epoch15,60.67,48.00,56.42,56.17,69.33,60.00,72.87,75.10,78.88,53.50,52.06,53.77,52.18,56.03,55.00,57.25,59.83
epoch16,61.08,48.00,56.58,56.25,69.67,60.00,73.64,75.80,79.25,53.83,52.06,55.03,52.26,56.28,54.50,56.83,60.07
epoch17,61.00,47.50,56.75,56.17,69.75,59.75,73.26,76.40,79.50,53.83,52.25,54.52,52.18,56.03,53.00,57.08,59.94
epoch18,60.50,47.50,57.00,55.75,69.75,59.75,69.77,75.30,80.62,54.08,52.25,55.03,52.51,55.53,53.50,56.42,59.70
epoch19,60.25,47.50,57.42,55.83,69.58,59.75,70.54,75.50,80.62,53.83,52.06,54.77,52.35,55.78,53.00,56.75,59.72
epoch20,60.92,48.00,58.25,56.00,71.00,60.75,71.71,76.30,80.62,53.83,52.44,55.78,52.35,55.97,53.00,56.92,60.24
epoch21,60.92,47.50,58.33,56.00,70.67,61.00,71.71,76.30,80.62,54.17,52.75,56.28,52.43,56.28,51.00,56.92,60.18
epoch22,60.67,47.50,59.00,56.00,71.08,61.00,70.93,77.00,80.62,53.92,52.88,55.28,52.60,56.16,53.50,56.92,60.32
epoch23,61.08,47.00,59.17,55.75,70.92,61.75,71.71,77.10,81.25,53.92,52.88,57.04,52.51,56.34,51.50,56.50,60.40
epoch24,61.08,47.00,59.25,55.58,71.42,62.25,71.71,77.50,81.12,53.67,52.81,57.79,52.35,56.60,51.50,56.42,60.50
epoch25,61.17,47.50,59.58,55.83,71.83,62.00,71.71,77.90,81.25,53.75,52.88,57.04,52.35,56.60,52.00,56.25,60.60
epoch26,61.17,49.00,59.17,55.83,71.83,61.75,71.32,78.00,81.38,53.75,53.00,57.79,52.51,56.47,52.00,56.33,60.71
epoch27,61.08,49.00,59.25,55.67,71.42,62.25,70.54,77.50,81.50,53.42,53.12,58.29,52.51,56.34,52.00,56.17,60.63
epoch28,61.42,48.50,59.42,55.75,72.42,61.75,72.48,78.20,81.75,53.67,53.19,58.04,52.35,56.53,52.50,56.67,60.91
epoch29,61.25,48.50,59.50,55.83,72.42,62.50,72.48,78.40,82.00,54.00,53.19,58.29,52.43,56.72,52.50,56.50,61.03
epoch30,61.08,48.00,59.25,55.58,72.67,62.25,72.48,78.80,81.88,54.00,53.19,58.54,52.26,56.47,50.50,56.58,60.85
epoch31,61.33,48.00,59.42,55.33,72.17,62.00,72.09,78.10,81.62,54.00,53.44,57.54,52.26,56.09,51.50,56.42,60.71
epoch32,61.33,48.00,59.50,55.33,72.33,62.25,72.87,77.90,81.62,53.83,53.50,58.04,52.26,56.53,51.00,56.33,60.79
epoch33,61.50,48.50,59.67,55.33,72.58,62.00,72.87,78.40,81.62,53.83,53.31,58.54,52.35,56.53,51.00,56.17,60.89
epoch34,61.50,48.50,59.67,55.42,72.42,61.25,72.09,78.60,82.00,53.42,53.44,58.54,52.18,56.66,51.00,56.25,60.81
epoch35,61.67,49.50,59.67,55.33,72.83,61.50,73.26,78.80,82.25,53.67,53.25,58.79,52.18,56.53,50.50,56.42,61.01
epoch36,61.58,49.00,60.08,55.00,72.83,61.25,73.26,79.00,82.38,53.67,53.31,60.05,52.18,56.72,51.50,56.75,61.16
epoch37,61.67,49.50,59.67,55.25,72.92,61.50,72.87,78.70,82.25,53.75,53.31,60.30,52.26,56.41,50.00,56.50,61.05
epoch38,61.50,49.00,60.42,55.50,73.75,62.25,74.03,79.70,83.00,53.75,53.31,60.55,52.18,56.72,50.00,56.83,61.41
epoch39,61.42,49.00,59.75,55.08,73.08,61.75,72.48,79.10,82.75,53.58,53.25,59.80,52.18,56.78,49.50,56.42,60.99
epoch40,61.67,49.50,60.08,55.17,73.50,62.00,72.48,79.80,83.12,54.08,53.25,60.80,52.09,56.66,50.50,56.50,61.33
epoch41,61.83,50.00,60.50,55.33,73.42,62.25,73.26,79.80,83.62,54.00,53.25,61.06,52.18,56.72,49.50,56.75,61.47
epoch42,61.83,49.50,60.17,55.50,73.50,62.25,73.64,79.90,83.50,53.92,53.37,61.56,52.35,56.85,50.00,56.83,61.54
epoch43,61.67,49.00,60.08,55.42,72.83,62.25,72.48,79.60,83.25,53.83,53.25,60.30,52.35,56.97,49.50,56.42,61.20
epoch44,61.67,49.50,60.42,55.67,73.25,62.75,72.87,79.50,83.38,53.92,53.25,60.05,52.43,56.91,49.00,56.58,61.32
epoch45,61.50,49.00,60.33,55.50,73.17,62.75,73.26,79.60,83.25,53.83,53.50,60.30,52.18,57.04,50.50,56.58,61.39
epoch46,61.75,49.00,60.33,55.50,73.75,62.50,73.26,80.30,83.50,54.08,53.44,61.06,52.35,57.04,51.00,56.50,61.59
epoch47,61.75,49.00,59.92,55.58,73.67,62.75,73.26,79.50,83.38,53.92,53.25,61.31,52.35,57.04,50.00,56.50,61.45
epoch48,61.75,49.00,60.17,55.67,74.00,62.50,73.64,80.30,83.88,54.00,53.50,62.06,52.26,57.04,50.00,56.58,61.65
epoch49,61.42,49.50,60.17,55.75,73.83,62.50,73.64,79.80,83.62,54.00,53.50,61.06,52.26,56.97,49.00,56.75,61.49
