epoch,ADM,DALLE2,Glide,Midjourney,VQDM,biggan,cyclegan,gaugan,progan,stable_diffusion_v_1_4,stable_diffusion_v_1_5,stargan,stylegan,stylegan2,whichfaceisreal,wukong,MEAN
epoch15,68.41,49.82,62.68,62.64,79.41,68.31,80.82,85.13,89.20,57.07,56.62,58.03,57.04,66.73,55.81,64.67,66.40
epoch16,68.87,49.85,63.33,63.22,80.25,69.02,81.70,85.66,89.58,57.37,57.04,58.41,57.43,67.15,55.07,65.17,66.82
epoch17,69.07,50.02,63.76,63.42,80.83,69.74,82.42,86.21,89.94,57.70,57.54,58.82,57.60,67.50,54.50,65.70,67.17
epoch18,69.42,50.55,64.65,63.73,81.48,70.17,82.90,86.67,90.25,57.97,57.80,58.98,58.09,67.94,53.82,65.96,67.52
epoch19,69.73,50.75,65.41,64.30,81.82,70.57,83.22,87.05,90.52,58.40,58.24,59.66,58.44,68.46,54.07,66.34,67.94
epoch20,70.25,50.85,65.88,64.32,82.37,71.14,83.81,87.43,90.82,58.78,58.40,60.27,58.63,68.54,53.75,66.80,68.25
epoch21,70.28,50.81,66.27,64.66,82.90,71.80,84.28,87.79,91.06,59.01,58.72,60.47,59.09,69.11,53.62,67.04,68.56
epoch22,70.48,50.87,66.67,64.83,83.19,72.33,84.83,88.13,91.36,59.37,59.00,60.58,59.14,69.26,53.47,67.31,68.80
epoch23,70.75,51.27,67.36,65.10,83.53,72.44,85.13,88.37,91.52,59.45,59.13,61.17,59.42,69.67,52.85,67.35,69.03
epoch24,71.04,50.81,67.62,65.18,83.81,72.92,85.69,88.59,91.70,59.90,59.42,61.54,59.64,69.79,53.05,67.64,69.27
epoch25,71.16,51.44,67.94,65.33,84.07,73.01,85.53,88.75,91.91,59.88,59.71,61.85,59.91,70.02,52.63,67.75,69.43
epoch26,71.35,51.06,68.19,65.62,84.32,73.30,85.71,88.87,92.11,59.94,59.79,62.49,60.20,70.40,52.63,68.09,69.63
epoch27,71.51,50.85,68.37,66.02,84.58,73.80,86.13,89.12,92.26,60.10,59.95,62.75,60.24,70.43,52.33,68.20,69.79
epoch28,71.60,51.61,68.59,65.90,84.82,73.89,86.58,89.35,92.42,60.56,60.15,63.00,60.63,70.69,52.37,68.49,70.04
epoch29,71.80,51.35,69.05,66.14,84.98,74.15,86.73,89.52,92.61,60.61,60.23,62.99,60.64,70.79,51.64,68.60,70.11
epoch30,71.76,51.04,68.96,66.03,85.19,74.53,87.13,89.75,92.63,60.82,60.51,63.50,60.73,70.75,52.27,69.04,70.29
epoch31,71.85,51.72,69.25,66.39,85.32,74.55,87.15,89.79,92.83,61.02,60.51,64.16,60.84,70.74,51.39,69.15,70.42
epoch32,71.93,51.44,69.28,66.50,85.52,74.87,87.41,89.88,92.87,60.96,60.56,64.08,61.22,71.17,51.13,69.06,70.49
epoch33,72.17,51.33,69.68,66.72,85.60,75.13,87.73,90.03,93.10,61.15,60.80,64.37,61.30,71.38,50.78,69.43,70.67
epoch34,72.07,51.16,69.88,66.83,85.79,75.37,87.62,90.21,93.23,61.38,60.86,64.68,61.49,71.38,50.63,69.28,70.74
epoch35,72.42,51.54,70.10,66.89,86.01,75.71,88.08,90.34,93.33,61.53,61.06,64.68,61.84,71.66,50.50,69.51,70.95
epoch36,72.43,51.11,70.25,66.85,86.08,75.48,88.17,90.42,93.43,61.69,61.20,65.16,61.84,71.59,50.57,69.60,70.99
epoch37,72.68,51.49,70.49,67.26,86.21,75.70,88.22,90.60,93.57,61.75,61.29,65.40,62.40,71.91,50.26,69.57,71.17
epoch38,72.57,50.62,70.43,67.08,86.19,75.91,87.94,90.60,93.61,61.93,61.30,65.54,62.39,71.80,50.26,69.55,71.11
epoch39,72.72,50.63,70.64,67.27,86.36,76.15,88.34,90.70,93.65,61.92,61.38,65.58,62.40,71.93,50.30,69.62,71.22
epoch40,72.92,50.98,70.75,67.19,86.52,76.31,88.23,90.72,93.81,61.99,61.46,65.79,62.67,72.24,50.46,69.62,71.35
epoch41,73.15,51.24,71.05,67.33,86.72,76.12,88.40,90.81,93.87,62.15,61.60,66.38,62.79,72.40,50.21,69.60,71.49
epoch42,72.95,50.86,70.99,67.20,86.63,76.54,88.62,90.84,93.90,62.09,61.66,66.43,62.87,72.34,49.89,69.81,71.48
epoch43,73.13,50.85,71.14,67.26,86.78,76.40,88.80,90.94,94.02,62.27,61.76,66.28,62.99,72.48,49.85,69.89,71.55
epoch44,73.24,51.09,71.48,67.62,86.87,76.80,88.82,91.00,94.15,62.44,61.89,66.41,63.13,72.61,50.07,70.06,71.73
epoch45,73.41,51.16,71.71,67.74,86.96,76.83,88.83,90.96,94.17,62.55,61.93,66.39,63.24,72.56,50.35,69.98,71.80
epoch46,73.53,51.11,71.90,67.97,87.18,76.86,89.07,91.11,94.31,62.52,62.08,66.97,63.39,72.60,49.89,70.12,71.91
epoch47,73.63,50.99,71.75,67.90,87.21,76.99,89.07,91.09,94.33,62.61,62.17,67.28,63.68,72.72,49.84,70.11,71.96
epoch48,73.60,50.98,71.97,68.08,87.24,76.90,89.19,91.29,94.37,62.64,62.23,67.15,63.60,72.82,49.90,70.08,72.00
epoch49,73.70,51.18,72.13,68.21,87.34,77.12,89.13,91.30,94.49,62.65,62.33,67.20,63.59,72.82,49.68,70.16,72.06
