dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,85.47,67.25,78.66,0.0111,96.13,38.37,79.03,78.28
biggan,97.78,89.92,91.9,0.1058,97.5,82.35,93.4,90.4
cyclegan,99.28,96.03,96.18,0.3136,95.23,96.82,94.4,97.96
DALLE2,55.94,50.4,59.75,0.0006,95.2,5.6,43.8,75.7
gaugan,99.96,98.66,99.1,0.8367,97.68,99.64,99.3,98.9
Glide,87.36,68.83,81.93,0.0119,96.23,41.43,79.13,84.73
Midjourney,71.78,56.84,67.49,0.0034,95.92,17.77,69.17,65.82
progan,99.99,99.22,99.61,0.113,99.85,98.6,99.6,99.62
stable_diffusion_v_1_4,81.56,62.15,77.24,0.004,96.22,28.08,71.08,83.4
stable_diffusion_v_1_5,81.57,61.35,77.09,0.0046,95.73,26.97,72.39,81.79
stargan,99.8,97.57,98.22,0.2302,98.85,96.3,97.85,98.6
stylegan,98.65,81.86,93.57,0.0009,99.98,63.75,91.82,95.33
stylegan2,98.81,70.69,95.12,0.0008,99.9,41.47,93.94,96.29
VQDM,92.97,78.7,85.82,0.0249,96.15,61.25,84.48,87.15
whichfaceisreal,90.44,83.55,83.8,0.4678,78.6,88.5,77.0,90.6
wukong,86.53,67.47,80.77,0.0067,95.78,39.17,75.68,85.87
