dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,73.7,61.42,67.25,0.285,96.33,26.5,79.83,54.67
biggan,77.12,62.5,67.5,0.3373,98.0,27.0,87.0,48.0
cyclegan,89.13,73.64,81.01,0.3259,98.45,48.84,82.17,79.84
DALLE2,51.18,49.5,56.5,0.2466,90.0,9.0,54.0,59.0
gaugan,91.3,79.8,83.4,0.4031,93.2,66.4,86.6,80.2
Glide,72.13,60.17,64.67,0.2188,96.5,23.83,64.0,65.33
Midjourney,68.21,55.75,63.67,0.2704,96.67,14.83,74.33,53.0
progan,94.49,83.62,86.88,0.3718,95.5,71.75,87.5,86.25
stable_diffusion_v_1_4,62.65,54.0,60.67,0.1814,95.17,12.83,48.83,72.5
stable_diffusion_v_1_5,62.33,53.5,60.94,0.2112,96.12,10.88,60.5,61.38
stargan,67.2,61.06,62.31,0.4408,82.41,39.7,70.35,54.27
stylegan,63.59,52.26,60.05,0.2049,98.49,6.03,56.28,63.82
stylegan2,72.82,56.97,64.32,0.2099,99.12,14.82,64.45,64.2
VQDM,87.34,73.83,79.5,0.325,96.17,51.5,84.67,74.33
whichfaceisreal,49.68,49.0,52.0,0.4277,78.0,20.0,56.0,48.0
wukong,70.16,56.75,64.92,0.2732,97.5,16.0,76.5,53.33
