dataset,parameter,noise_std,image_type,count,mean_similarity,std_similarity,source_csv
ADM,Noise STD,0.03,Fake,6000,0.935712665806214,0.0311785363613506,ADM/noise_cosine_similarity_ADM_0.03.csv
ADM,Noise STD,0.03,Real,6000,0.953863253970941,0.0220785282065762,ADM/noise_cosine_similarity_ADM_0.03.csv
ADM,Noise STD,0.05,Fake,6000,0.913998177230358,0.0357094799281645,ADM/noise_cosine_similarity_ADM_0.05.csv
ADM,Noise STD,0.05,Real,6000,0.9307962475816408,0.029635144999049,ADM/noise_cosine_similarity_ADM_0.05.csv
ADM,Noise STD,0.1,Fake,6000,0.8612314092318217,0.0485746135512983,ADM/noise_cosine_similarity_ADM_0.1.csv
ADM,Noise STD,0.1,Real,6000,0.878198218892018,0.0490105303568504,ADM/noise_cosine_similarity_ADM_0.1.csv
DALLE2,Noise STD,0.03,Fake,1000,0.9337716971039772,0.0250326377211556,DALLE2/noise_cosine_similarity_DALLE2_0.03.csv
DALLE2,Noise STD,0.03,Real,999,0.9571025109028554,0.018405477925262,DALLE2/noise_cosine_similarity_DALLE2_0.03.csv
DALLE2,Noise STD,0.05,Fake,1000,0.9091359711885452,0.0319643692520378,DALLE2/noise_cosine_similarity_DALLE2_0.05.csv
DALLE2,Noise STD,0.05,Real,999,0.9351695912616984,0.0245087044427623,DALLE2/noise_cosine_similarity_DALLE2_0.05.csv
DALLE2,Noise STD,0.1,Fake,1000,0.8596531014442443,0.0456092994328083,DALLE2/noise_cosine_similarity_DALLE2_0.1.csv
DALLE2,Noise STD,0.1,Real,999,0.8860394909933165,0.0388845993918836,DALLE2/noise_cosine_similarity_DALLE2_0.1.csv
Glide,Noise STD,0.03,Fake,6000,0.920065663566192,0.0281037480441065,Glide/noise_cosine_similarity_Glide_0.03.csv
Glide,Noise STD,0.03,Real,6000,0.9537726902266344,0.0228565577385352,Glide/noise_cosine_similarity_Glide_0.03.csv
Glide,Noise STD,0.05,Fake,6000,0.8995699621637663,0.0334714019876205,Glide/noise_cosine_similarity_Glide_0.05.csv
Glide,Noise STD,0.05,Real,6000,0.9302124857703844,0.0306227866980196,Glide/noise_cosine_similarity_Glide_0.05.csv
Glide,Noise STD,0.1,Fake,6000,0.8625786054531733,0.0443747479570878,Glide/noise_cosine_similarity_Glide_0.1.csv
Glide,Noise STD,0.1,Real,6000,0.8783524006505807,0.0489228123865555,Glide/noise_cosine_similarity_Glide_0.1.csv
Midjourney,Noise STD,0.03,Fake,6000,0.9436897309223812,0.0238664757282905,Midjourney/noise_cosine_similarity_Midjourney_0.03.csv
Midjourney,Noise STD,0.03,Real,6000,0.953617803345124,0.0232054433146388,Midjourney/noise_cosine_similarity_Midjourney_0.03.csv
Midjourney,Noise STD,0.05,Fake,6000,0.9212513744632403,0.0316022972572162,Midjourney/noise_cosine_similarity_Midjourney_0.05.csv
Midjourney,Noise STD,0.05,Real,6000,0.9306232429643472,0.0309345789195604,Midjourney/noise_cosine_similarity_Midjourney_0.05.csv
Midjourney,Noise STD,0.1,Fake,6000,0.8771028050283591,0.0447786041616876,Midjourney/noise_cosine_similarity_Midjourney_0.1.csv
Midjourney,Noise STD,0.1,Real,6000,0.8785842404663563,0.0482277328121615,Midjourney/noise_cosine_similarity_Midjourney_0.1.csv
VQDM,Noise STD,0.03,Fake,6000,0.9501335191130638,0.0279113414991001,VQDM/noise_cosine_similarity_VQDM_0.03.csv
VQDM,Noise STD,0.03,Real,6000,0.9533819557825725,0.0230320937608785,VQDM/noise_cosine_similarity_VQDM_0.03.csv
VQDM,Noise STD,0.05,Fake,6000,0.9256881269117196,0.0359485171214872,VQDM/noise_cosine_similarity_VQDM_0.05.csv
VQDM,Noise STD,0.05,Real,6000,0.9302355253994464,0.0302815720802237,VQDM/noise_cosine_similarity_VQDM_0.05.csv
VQDM,Noise STD,0.1,Fake,6000,0.8684668217003345,0.049267879342449,VQDM/noise_cosine_similarity_VQDM_0.1.csv
VQDM,Noise STD,0.1,Real,6000,0.8779248206019401,0.0484620267030147,VQDM/noise_cosine_similarity_VQDM_0.1.csv
biggan,Noise STD,0.03,Fake,2000,0.9515614562034608,0.0224949187868248,biggan/noise_cosine_similarity_biggan_0.03.csv
biggan,Noise STD,0.03,Real,2000,0.947427172869444,0.0278687809501658,biggan/noise_cosine_similarity_biggan_0.03.csv
biggan,Noise STD,0.05,Fake,2000,0.9312970605790616,0.0286494229244724,biggan/noise_cosine_similarity_biggan_0.05.csv
biggan,Noise STD,0.05,Real,2000,0.9240096588432788,0.0345717845759251,biggan/noise_cosine_similarity_biggan_0.05.csv
biggan,Noise STD,0.1,Fake,2000,0.8922120955288411,0.039355023410202,biggan/noise_cosine_similarity_biggan_0.1.csv
biggan,Noise STD,0.1,Real,2000,0.8696312255263329,0.0523885279394616,biggan/noise_cosine_similarity_biggan_0.1.csv
cyclegan,Noise STD,0.03,Fake,1321,0.9536620523783405,0.0233025104042871,cyclegan/noise_cosine_similarity_cyclegan_0.03.csv
