dataset,noise_std,count_fake,count_real,mean_similarity_fake,mean_similarity_real,std_similarity_fake,std_similarity_real,gap_mean_real_minus_fake,se_gap,welch_t,welch_df,cohens_d
ADM,0.03,6000,6000,0.935712665806214,0.953863253970941,0.0311785363613506,0.0220785282065762,0.018150588164726922,0.0004932143782380779,36.80060631964284,10806.540502728729,0.6718840737045185
ADM,0.05,6000,6000,0.913998177230358,0.9307962475816408,0.0357094799281645,0.029635144999049,0.01679807035128278,0.0005990838527639018,28.039597919029337,11603.75797859308,0.5119306761209095
ADM,0.1,6000,6000,0.8612314092318217,0.878198218892018,0.0485746135512983,0.0490105303568504,0.016966809660196258,0.0008908352978635396,19.04595574612635,11997.042460571085,0.34772998637995123
DALLE2,0.03,1000,999,0.9337716971039772,0.9571025109028554,0.0250326377211556,0.018405477925262,0.023330813798878136,0.000982717492290793,23.741119886339,1834.8911729493598,1.06184233891552
DALLE2,0.05,1000,999,0.9091359711885452,0.9351695912616984,0.0319643692520378,0.0245087044427623,0.02603362007315324,0.0012739696907755028,20.43503880952286,1871.866848541511,0.9139926627309869
DALLE2,0.1,1000,999,0.8596531014442443,0.8860394909933165,0.0456092994328083,0.0388845993918836,0.02638638954907213,0.0018957145856416005,13.91896741678638,1948.8491901068664,0.6225816121006487
Glide,0.03,6000,6000,0.920065663566192,0.9537726902266344,0.0281037480441065,0.0228565577385352,0.03370702666044234,0.0004676613599927504,72.07571448914415,11519.668259412329,1.3159164891335398
Glide,0.05,6000,6000,0.8995699621637663,0.9302124857703844,0.0334714019876205,0.0306227866980196,0.03064252360661812,0.0005856747982981243,52.320031006388376,11904.31272848973,0.9552287063856212
Glide,0.1,6000,6000,0.8625786054531733,0.8783524006505807,0.0443747479570878,0.0489228123865555,0.015773795197407403,0.0008526976631125062,18.498696407622482,11885.557483493636,0.3377384435631538
Midjourney,0.03,6000,6000,0.9436897309223812,0.953617803345124,0.0238664757282905,0.0232054433146388,0.00992807242274285,0.0004297482331004969,23.1020668802172,11988.546840970635,0.42178410517626536
